case_number,lawsuit_url,documents_listed_count,documents_with_gcs_url
CV-010437-08/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Y4Qm_PLUS_sPjqts38tfkupptGg==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-011413-09/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=BGV95bZAejVhUAdo74BrBQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-012647-08/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=rFhVHdCYOpLnp6_PLUS_WZwh1HA==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-012692-07/RI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=_PLUS_HOvkMdL9ZJZRWIckrFKEw==&display=all&courtType=Richmond County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-022552-08/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=JKDouh63OowmtmokqRhC5w==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-022839-08/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=u6SllcEvR5ZoOxWEZoegxg==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-024535-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=oc82_PLUS_PzjJbazuM_PLUS_NmJRHQg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-024536-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Lpu3wWn6nwVQZmXZMezuVQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-024538-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=lks5dC825cjoyvMb6VakTA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-024539-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=MLMcQj2WNqAqCeFw/Ukl_PLUS_Q==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-024540-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=P4BbhyirIUhqBb0IvlnJxQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-024541-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=kGP51rZSVtNfJjcANpo9Mw==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=1,1,0
CV-024542-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=xLLsyhBvPLFzX9P1mW8saQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-024543-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=F/B3SITdwhmKDafZrZt6TA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-024544-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=KZ0LVDv8vH9rYFRH89OCJg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-025730-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=QEmohUo8jyym7Fg1rRjCCg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-025735-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=EvxcvM/YquMpbbALcJfVLw==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-025742-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=YzO_PLUS_nT06aw9R7dOCjuqNJQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-025747-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=6T8Yi_PLUS_LauoJZI1qrgjWkfQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-032547-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=3hSxPh8J7Icay45qcQW1Ow==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-032598-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=hxYlP09C/w0V/t_PLUS_xSsUJnA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-032599-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=xlFQW2aRrMRNWCNqUqcWAQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-032600-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=TQCTeDRGQcFV2F5AAIdMhg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-032601-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=zSCifHaOWjgj3rU/yHa8dQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-037622-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=sYHaeFDMV1EUwhh4_PLUS_IiibQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-037624-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=BOPzcdD4buJSa2Yz7mT17w==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-037627-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=WSWb1hSWQRsKrm4GViwIUQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-037630-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=/FJHs4qrwoTSYhn/5iYzhQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-037634-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=V8muJlISbqD0_PLUS_OLZZtEusQ==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-037636-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=s4Lwedq2exo/BScixQG6WA==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-046817-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=kiHDKRPPFv32SbTqoMaw9A==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-046821-08/QU,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=UB1vuSSUyeUFEsQLfZnlzg==&display=all&courtType=Queens County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-047077-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ug/ZNQv/XZMTHV0U7PKUyQ==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-047081-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=HB7mVlGhDhgwbVSwA_PLUS_0Q9g==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-047083-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Gs/Maeb9r89xRVOqhe/faA==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=2,1,0
CV-048366-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=hkoKdo6lADDJz8INQSLJ6g==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-048421-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=FzplYgP9BWyW/2AV3HF4zw==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-049815-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ge9XURCRDmIu1hV2u/PJsQ==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-049816-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=CsB7G69Tu0TakwTzqr/qDQ==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-049861-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=CoQCS/Va6yRPjMqCTx//2w==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-049862-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=4vO3OSqYwHKa31kxvpMyaw==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-049863-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=1IGztcO17oMEH2M/qVep3Q==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-049864-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=W_PLUS_rGdp0Qt_PLUS_G1wJwDO/uLYw==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
CV-049865-07/KI,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=WuAyVojiTA6nt5GYuf5Qrg==&display=all&courtType=Kings County Civil Court - Civil Division&resultsPageNum=3,1,0
