case,case_id,docket_id,case_docket_page_link,case_found_by_crawl,case_scraped_rows,case_docs_on_gcs,document_id,document_name,document_status,filed_create,filed_received,document_link,document_confirmation_link,sql_query
case_28522,151657/2020,vt3SUaIXzrq4IqROX/T1oQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=vt3SUaIXzrq4IqROX/T1oQ==&display=all&courtType=New York County Supreme Court&resultsPageNum=25,325,325,324,1101157,AFFIRMATION/AFFIDAVIT OF SERVICE,Processed,05/03/2021,05/03/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=6W6Q1JA2DEXfvjaWMwF9KQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=6W6Q1JA2DEXfvjaWMwF9KQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'vt3SUaIXzrq4IqROX/T1oQ==' ORDER BY id;"
case_28570,152456/2018,9y3NSDxvUMoYsLPNz0ftuA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=9y3NSDxvUMoYsLPNz0ftuA==&display=all&courtType=New York County Supreme Court&resultsPageNum=27,113,113,112,1104050,EXHIBIT(S),Processed,04/13/2021,04/13/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=DxlPTNmU2xlSPn_PLUS_tE/1Kuw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=DxlPTNmU2xlSPn_PLUS_tE/1Kuw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '9y3NSDxvUMoYsLPNz0ftuA==' ORDER BY id;"
case_28577,152551/2015,QS9sKe7WujiMO/nu3eB3pw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=QS9sKe7WujiMO/nu3eB3pw==&display=all&courtType=New York County Supreme Court&resultsPageNum=27,314,314,313,1104466,EXHIBIT(S),Processed,12/17/2018,12/17/2018,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=9jeJT61rZq2O8lWaZLN9aw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=9jeJT61rZq2O8lWaZLN9aw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'QS9sKe7WujiMO/nu3eB3pw==' ORDER BY id;"
case_28810,Not Assigned,8lKy7o2QprTHpE2x6_PLUS_r_PLUS_Hg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=8lKy7o2QprTHpE2x6_PLUS_r_PLUS_Hg==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,2,2,1,1116831,JUDGMENT-FOREIGN (5402),,09/02/2026,09/02/2026,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=5jXVKNH4D4JneLvvl7MySA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=5jXVKNH4D4JneLvvl7MySA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '8lKy7o2QprTHpE2x6_PLUS_r_PLUS_Hg==' ORDER BY id;"
case_29923,CV-701161-26/RI,bbdkJz0x82L1mMZQlyN9qg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=bbdkJz0x82L1mMZQlyN9qg==&display=all&courtType=Richmond County Civil Court - Civil Division&resultsPageNum=3,3,3,2,1155425,SUMMONS + COMPLAINT,Processed,01/05/2026,12/26/2025,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=jaeHG7lBvZmFoXWZr_PLUS_kY0A==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=jaeHG7lBvZmFoXWZr_PLUS_kY0A==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'bbdkJz0x82L1mMZQlyN9qg==' ORDER BY id;"
case_31174,EF001120-2017,3GWLn_PLUS_dOaWovrdqmpVffQQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=3GWLn_PLUS_dOaWovrdqmpVffQQ==&display=all&courtType=Orange County Supreme Court&resultsPageNum=3,22,22,21,1172744,COMPLAINT (AMENDED),Processed,03/27/2017,03/27/2017,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=Mnl8djtT88/WuHukGtSpFw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=Mnl8djtT88/WuHukGtSpFw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '3GWLn_PLUS_dOaWovrdqmpVffQQ==' ORDER BY id;"
case_31514,510803/2025,0vCfh7e/3E1C5GD0iCUS2w==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=0vCfh7e/3E1C5GD0iCUS2w==&display=all&courtType=Kings County Supreme Court&resultsPageNum=2,54,54,53,1176118,ORDER - OTHER,Processed,06/25/2026,06/25/2026,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=IznflxZOItu4/QLs8xVFeg==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=IznflxZOItu4/QLs8xVFeg==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '0vCfh7e/3E1C5GD0iCUS2w==' ORDER BY id;"
case_32806,190033/2014,4SM6nSclbVT8xwiimbla/A==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=4SM6nSclbVT8xwiimbla/A==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,605,605,604,1184283,EXHIBIT(S),Processed,09/09/2015,09/09/2015,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=jrAnA70mnOPs0q0L3WG/Rw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=jrAnA70mnOPs0q0L3WG/Rw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '4SM6nSclbVT8xwiimbla/A==' ORDER BY id;"
case_34006,154615/2013,AToUygkF1XdBBUy/OzPQHw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=AToUygkF1XdBBUy/OzPQHw==&display=all&courtType=New York County Supreme Court&resultsPageNum=2,11,11,8,1187963,AFFIDAVIT OR AFFIRMATION IN SUPPORT,Processed,05/20/2013,05/20/2013,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=nF4mgry5VKupNo7P6lOckA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=nF4mgry5VKupNo7P6lOckA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'AToUygkF1XdBBUy/OzPQHw==' ORDER BY id;"
case_34006,154615/2013,AToUygkF1XdBBUy/OzPQHw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=AToUygkF1XdBBUy/OzPQHw==&display=all&courtType=New York County Supreme Court&resultsPageNum=2,11,11,8,1187964,EXHIBIT(S),Processed,05/20/2013,05/20/2013,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=IclDh1iKh_PLUS_XxQznmVYgZeg==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=IclDh1iKh_PLUS_XxQznmVYgZeg==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'AToUygkF1XdBBUy/OzPQHw==' ORDER BY id;"
case_34006,154615/2013,AToUygkF1XdBBUy/OzPQHw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=AToUygkF1XdBBUy/OzPQHw==&display=all&courtType=New York County Supreme Court&resultsPageNum=2,11,11,8,1187969,RJI -RE: 202.6(b),Processed,05/20/2013,05/20/2013,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=Cnqxn6mpWLayuy2LnYKWSg==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=Cnqxn6mpWLayuy2LnYKWSg==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'AToUygkF1XdBBUy/OzPQHw==' ORDER BY id;"
case_34016,2020-04561,qb01Abn10YI22q0hmpTciw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=qb01Abn10YI22q0hmpTciw==&display=all&courtType=Appellate Division - 1st Dept&resultsPageNum=2,17,17,14,1187977,RECORD ON APPEAL,Processed,02/08/2021,02/08/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=foCNhJ7dDy6534Fk6pI/_PLUS_w==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=foCNhJ7dDy6534Fk6pI/_PLUS_w==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'qb01Abn10YI22q0hmpTciw==' ORDER BY id;"
case_34016,2020-04561,qb01Abn10YI22q0hmpTciw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=qb01Abn10YI22q0hmpTciw==&display=all&courtType=Appellate Division - 1st Dept&resultsPageNum=2,17,17,14,1187979,APPELLANT'S BRIEF,Processed,02/08/2021,02/08/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=AtA3iKmjZt4FgmHlRIYvbw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=AtA3iKmjZt4FgmHlRIYvbw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'qb01Abn10YI22q0hmpTciw==' ORDER BY id;"
case_34016,2020-04561,qb01Abn10YI22q0hmpTciw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=qb01Abn10YI22q0hmpTciw==&display=all&courtType=Appellate Division - 1st Dept&resultsPageNum=2,17,17,14,1187983,APPELLANT'S REPLY BRIEF,Processed,06/18/2021,06/18/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=GfVjfLEHQTxMhj4bYumvZg==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=GfVjfLEHQTxMhj4bYumvZg==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'qb01Abn10YI22q0hmpTciw==' ORDER BY id;"
case_34055,151183/2013,Bn/hOyGsL5jhkHRWmQrsbQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Bn/hOyGsL5jhkHRWmQrsbQ==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,375,375,372,1188299,SUMMONS + COMPLAINT,Processed,02/07/2013,02/07/2013,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=rm2R4Tl11YZCBH2wQjC_PLUS_vg==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=rm2R4Tl11YZCBH2wQjC_PLUS_vg==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'Bn/hOyGsL5jhkHRWmQrsbQ==' ORDER BY id;"
case_34055,151183/2013,Bn/hOyGsL5jhkHRWmQrsbQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Bn/hOyGsL5jhkHRWmQrsbQ==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,375,375,372,1188301,EXHIBIT(S),Processed,02/07/2013,02/07/2013,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=4A42aBF/f8OOx8sqYRRfUQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=4A42aBF/f8OOx8sqYRRfUQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'Bn/hOyGsL5jhkHRWmQrsbQ==' ORDER BY id;"
case_34055,151183/2013,Bn/hOyGsL5jhkHRWmQrsbQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Bn/hOyGsL5jhkHRWmQrsbQ==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,375,375,372,1188394,MEMORANDUM OF LAW IN OPPOSITION,Processed,06/26/2013,06/26/2013,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=WQRfSb/YDA5YHVUJQtnbEA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=WQRfSb/YDA5YHVUJQtnbEA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'Bn/hOyGsL5jhkHRWmQrsbQ==' ORDER BY id;"
case_34056,653214/2022,9hTeY6P4uZWJPoHGbCP6Lg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=9hTeY6P4uZWJPoHGbCP6Lg==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,109,109,106,1188682,STIPULATION - TIME TO ANSWER,Processed,10/11/2022,10/11/2022,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=MWtB3m0Bk8s5JZpyp6nsPQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=MWtB3m0Bk8s5JZpyp6nsPQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '9hTeY6P4uZWJPoHGbCP6Lg==' ORDER BY id;"
case_34056,653214/2022,9hTeY6P4uZWJPoHGbCP6Lg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=9hTeY6P4uZWJPoHGbCP6Lg==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,109,109,106,1188689,EXHIBIT(S),Processed,10/17/2022,10/17/2022,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=/H3aZ0a8cK_PLUS_iDzLIDFTnxw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=/H3aZ0a8cK_PLUS_iDzLIDFTnxw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '9hTeY6P4uZWJPoHGbCP6Lg==' ORDER BY id;"
case_34056,653214/2022,9hTeY6P4uZWJPoHGbCP6Lg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=9hTeY6P4uZWJPoHGbCP6Lg==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,109,109,106,1188697,STIPULATION - TIME TO ANSWER,Processed,11/02/2022,11/02/2022,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=yoQePIufZsm5yvr7HVj9iQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=yoQePIufZsm5yvr7HVj9iQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '9hTeY6P4uZWJPoHGbCP6Lg==' ORDER BY id;"
case_34219,604913/2021,vluOlIET5VJ7pvLMwh0AeQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=vluOlIET5VJ7pvLMwh0AeQ==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=1,25,25,19,1188788,DEMAND FOR BILL OF PARTICULARS,Processed,07/13/2021,07/13/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=ZJdXul0trvCR_PLUS_6GwsijeeA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=ZJdXul0trvCR_PLUS_6GwsijeeA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'vluOlIET5VJ7pvLMwh0AeQ==' ORDER BY id;"
case_34219,604913/2021,vluOlIET5VJ7pvLMwh0AeQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=vluOlIET5VJ7pvLMwh0AeQ==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=1,25,25,19,1188795,STATEMENT OF AUTHORIZATION FOR ELECTRONIC FILING,Processed,08/27/2021,08/27/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=T73lptaJcheYgA07O_PLUS_r5Ng==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=T73lptaJcheYgA07O_PLUS_r5Ng==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'vluOlIET5VJ7pvLMwh0AeQ==' ORDER BY id;"
case_34219,604913/2021,vluOlIET5VJ7pvLMwh0AeQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=vluOlIET5VJ7pvLMwh0AeQ==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=1,25,25,19,1188796,ANSWER,Processed,08/27/2021,08/27/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=MjWImHiZiYzRkwOOlXARpw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=MjWImHiZiYzRkwOOlXARpw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'vluOlIET5VJ7pvLMwh0AeQ==' ORDER BY id;"
case_34219,604913/2021,vluOlIET5VJ7pvLMwh0AeQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=vluOlIET5VJ7pvLMwh0AeQ==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=1,25,25,19,1188798,PRELIMINARY CONFERENCE REQUEST,Processed,12/06/2021,12/06/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=v3ppDaBZ7EJEcZZUeS7/YQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=v3ppDaBZ7EJEcZZUeS7/YQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'vluOlIET5VJ7pvLMwh0AeQ==' ORDER BY id;"
case_34219,604913/2021,vluOlIET5VJ7pvLMwh0AeQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=vluOlIET5VJ7pvLMwh0AeQ==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=1,25,25,19,1188799,RJI -RE: REQUEST FOR PRELIMINARY CONFERENCE,Processed,12/06/2021,12/06/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=Zqq_PLUS_adgvPHkP7iRgF4SJgg==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=Zqq_PLUS_adgvPHkP7iRgF4SJgg==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'vluOlIET5VJ7pvLMwh0AeQ==' ORDER BY id;"
case_34219,604913/2021,vluOlIET5VJ7pvLMwh0AeQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=vluOlIET5VJ7pvLMwh0AeQ==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=1,25,25,19,1188801,PRELIMINARY CONFERENCE ORDER (PROPOSED),Processed,01/18/2022,01/18/2022,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=AFYL2sjKH9mjZqH0ZoEBgA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=AFYL2sjKH9mjZqH0ZoEBgA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'vluOlIET5VJ7pvLMwh0AeQ==' ORDER BY id;"
case_35038,25791/2014E,XoM7PG5B1561tDtYCsZnBA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=XoM7PG5B1561tDtYCsZnBA==&display=all&courtType=Bronx County Supreme Court&resultsPageNum=1,195,195,193,1190028,NOTICE OF MOTION,Processed,04/17/2019,04/17/2019,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=MYarzwTRwXgwk/kjNGDfUA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=MYarzwTRwXgwk/kjNGDfUA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'XoM7PG5B1561tDtYCsZnBA==' ORDER BY id;"
case_35038,25791/2014E,XoM7PG5B1561tDtYCsZnBA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=XoM7PG5B1561tDtYCsZnBA==&display=all&courtType=Bronx County Supreme Court&resultsPageNum=1,195,195,193,1190036,AFFIDAVIT OR AFFIRMATION IN REPLY,Processed,05/07/2019,05/07/2019,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=WLt64lWafpqe/fi4sE1SOA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=WLt64lWafpqe/fi4sE1SOA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'XoM7PG5B1561tDtYCsZnBA==' ORDER BY id;"
case_35097,190289/2013,QHL6JzWMblQJRF6V7muIyA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=QHL6JzWMblQJRF6V7muIyA==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,123,123,121,1190384,STATEMENT OF AUTHORIZATION FOR ELECTRONIC FILING,Processed,09/03/2013,09/03/2013,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=rtU2029eubQYDM5H0Ebu6g==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=rtU2029eubQYDM5H0Ebu6g==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'QHL6JzWMblQJRF6V7muIyA==' ORDER BY id;"
case_35097,190289/2013,QHL6JzWMblQJRF6V7muIyA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=QHL6JzWMblQJRF6V7muIyA==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,123,123,121,1190387,NOTICE OF APPEARANCE (POST RJI),Processed,09/09/2013,09/09/2013,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=58LwkWI_PLUS_Nwp7iTnOIOcMdw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=58LwkWI_PLUS_Nwp7iTnOIOcMdw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'QHL6JzWMblQJRF6V7muIyA==' ORDER BY id;"
case_35157,50385/2011,pqOEQal2d4UrrvsmfhwcMw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=pqOEQal2d4UrrvsmfhwcMw==&display=all&courtType=Westchester County Supreme Court&resultsPageNum=1,213,213,208,1190725,COMPLAINT (AMENDED),Processed,04/21/2011,04/21/2011,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=eitkDbDYAanIy8gYEYb_PLUS_/Q==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=eitkDbDYAanIy8gYEYb_PLUS_/Q==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'pqOEQal2d4UrrvsmfhwcMw==' ORDER BY id;"
case_35157,50385/2011,pqOEQal2d4UrrvsmfhwcMw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=pqOEQal2d4UrrvsmfhwcMw==&display=all&courtType=Westchester County Supreme Court&resultsPageNum=1,213,213,208,1190726,AFFIRMATION/AFFIDAVIT OF SERVICE,Processed,04/27/2011,04/27/2011,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=embF8o//W1etAIBbe6tvgg==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=embF8o//W1etAIBbe6tvgg==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'pqOEQal2d4UrrvsmfhwcMw==' ORDER BY id;"
case_35157,50385/2011,pqOEQal2d4UrrvsmfhwcMw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=pqOEQal2d4UrrvsmfhwcMw==&display=all&courtType=Westchester County Supreme Court&resultsPageNum=1,213,213,208,1190796,EXHIBIT(S),Processed,01/26/2012,01/26/2012,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=S8BHfva0JX7Y5vIJJuQy4w==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=S8BHfva0JX7Y5vIJJuQy4w==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'pqOEQal2d4UrrvsmfhwcMw==' ORDER BY id;"
case_35157,50385/2011,pqOEQal2d4UrrvsmfhwcMw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=pqOEQal2d4UrrvsmfhwcMw==&display=all&courtType=Westchester County Supreme Court&resultsPageNum=1,213,213,208,1190802,EXHIBIT(S),Processed,01/26/2012,01/26/2012,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=tkv4cC1xbw1ufpNn5QXWQw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=tkv4cC1xbw1ufpNn5QXWQw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'pqOEQal2d4UrrvsmfhwcMw==' ORDER BY id;"
case_35157,50385/2011,pqOEQal2d4UrrvsmfhwcMw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=pqOEQal2d4UrrvsmfhwcMw==&display=all&courtType=Westchester County Supreme Court&resultsPageNum=1,213,213,208,1190840,AFFIRMATION/AFFIDAVIT OF SERVICE,Processed,01/26/2012,01/26/2012,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=FeulahsSuUuyIlee4QlfhQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=FeulahsSuUuyIlee4QlfhQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'pqOEQal2d4UrrvsmfhwcMw==' ORDER BY id;"
