case,case_id,docket_id,case_docket_page_link,case_found_by_crawl,case_scraped_rows,case_docs_on_gcs,document_id,document_name,document_status,filed_create,filed_received,document_link,document_confirmation_link,sql_query
case_8309,155969/2016,CJKf1rH6XLkclQJzyA75EQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=CJKf1rH6XLkclQJzyA75EQ==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,163,163,160,578604,ORDER - PRELIMINARY CONFERENCE,Processed,05/24/2017,05/24/2017,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=bz7o9IxvuK0w3v5nbwul6w==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=bz7o9IxvuK0w3v5nbwul6w==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'CJKf1rH6XLkclQJzyA75EQ==' ORDER BY id;"
case_8319,158791/2013,gt/Zvx2UQf2TMdP5D78DZg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=gt/Zvx2UQf2TMdP5D78DZg==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,204,204,203,579514,NOTICE OF MOTION,Processed,01/10/2018,01/10/2018,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=AFqiDCMHOa_PLUS_0kNyrcEgNYQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=AFqiDCMHOa_PLUS_0kNyrcEgNYQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'gt/Zvx2UQf2TMdP5D78DZg==' ORDER BY id;"
case_14035,508411/2024,IXnqo4ji5qa0UCLF7jnKwA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=IXnqo4ji5qa0UCLF7jnKwA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=6,59,59,58,761374,STIPULATION - OTHER,,08/24/2026,08/24/2026,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=smxob2hZsLuhs1Sp4nPitQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=smxob2hZsLuhs1Sp4nPitQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'IXnqo4ji5qa0UCLF7jnKwA==' ORDER BY id;"
case_14193,708397/2023,sQG2ZxM74n5dTnZu5xlVcA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=sQG2ZxM74n5dTnZu5xlVcA==&display=all&courtType=Queens County Supreme Court&resultsPageNum=13,20,20,19,768691,DEMAND FOR:,Processed,06/27/2023,06/27/2023,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=VB/70NzXS_PLUS_UT9b9Y0mHJVg==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=VB/70NzXS_PLUS_UT9b9Y0mHJVg==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'sQG2ZxM74n5dTnZu5xlVcA==' ORDER BY id;"
case_14305,903341-24,11wentUIEUCH6uConyn5tA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=11wentUIEUCH6uConyn5tA==&display=all&courtType=Albany County Supreme Court&resultsPageNum=17,91,91,90,772638,AFFIDAVIT OR AFFIRMATION IN SUPPORT OF MOTION,Processed,09/03/2025,09/03/2025,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=5Aw7vJzndHeM2E/i1FrjzA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=5Aw7vJzndHeM2E/i1FrjzA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '11wentUIEUCH6uConyn5tA==' ORDER BY id;"
case_15362,154214/2022,yaY4jjzXhGNVg/OKmAyMIA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=yaY4jjzXhGNVg/OKmAyMIA==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,88,88,87,793277,AFFIDAVIT,Processed,07/08/2022,07/08/2022,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=NkWkqgTNqUpFe9hvbKmNAg==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=NkWkqgTNqUpFe9hvbKmNAg==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'yaY4jjzXhGNVg/OKmAyMIA==' ORDER BY id;"
case_15380,608590/2022,7qXhbg/XpnBTI7r5bzsJQg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=7qXhbg/XpnBTI7r5bzsJQg==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=2,180,180,179,794458,NOTICE OF ENTRY,Processed,04/26/2023,04/26/2023,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=5RzoLJz6giDZEEqt1gNGdw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=5RzoLJz6giDZEEqt1gNGdw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '7qXhbg/XpnBTI7r5bzsJQg==' ORDER BY id;"
case_15385,615379/2023,6P8Sc7hPqbrLLOY9Q430wQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=6P8Sc7hPqbrLLOY9Q430wQ==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=2,209,209,208,794844,AFFIRMATION/AFFIDAVIT OF SERVICE,Processed,10/11/2023,10/11/2023,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=uochnVyJtQsJCU1rxUV9QA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=uochnVyJtQsJCU1rxUV9QA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '6P8Sc7hPqbrLLOY9Q430wQ==' ORDER BY id;"
case_16484,190298/2016,9u0IiWYpNoHRC8cTa0sxMg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=9u0IiWYpNoHRC8cTa0sxMg==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,373,373,369,803378,NOTICE OF ENTRY,Processed,04/02/2019,04/02/2019,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=zC8Pg0YHGksSgBCADkMA5g==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=zC8Pg0YHGksSgBCADkMA5g==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '9u0IiWYpNoHRC8cTa0sxMg==' ORDER BY id;"
case_16484,190298/2016,9u0IiWYpNoHRC8cTa0sxMg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=9u0IiWYpNoHRC8cTa0sxMg==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,373,373,369,803381,NOTICE OF ENTRY,Processed,04/02/2019,04/02/2019,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=iyFhl_PLUS_pLfiXOIm64Z4D_PLUS_Ew==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=iyFhl_PLUS_pLfiXOIm64Z4D_PLUS_Ew==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '9u0IiWYpNoHRC8cTa0sxMg==' ORDER BY id;"
case_16484,190298/2016,9u0IiWYpNoHRC8cTa0sxMg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=9u0IiWYpNoHRC8cTa0sxMg==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,373,373,369,803425,EXHIBIT(S),Processed,02/18/2020,02/18/2020,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=ipTpYl6C4cjYBLIefaFmug==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=ipTpYl6C4cjYBLIefaFmug==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '9u0IiWYpNoHRC8cTa0sxMg==' ORDER BY id;"
case_16484,190298/2016,9u0IiWYpNoHRC8cTa0sxMg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=9u0IiWYpNoHRC8cTa0sxMg==&display=all&courtType=New York County Supreme Court&resultsPageNum=1,373,373,369,803427,EXHIBIT(S),Processed,02/18/2020,02/18/2020,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=JLsqgvrtUKstcutfoR2lmw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=JLsqgvrtUKstcutfoR2lmw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '9u0IiWYpNoHRC8cTa0sxMg==' ORDER BY id;"
case_16558,E2022006032,Jb1BOGjsbEYHnbDn8Jyktw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=Jb1BOGjsbEYHnbDn8Jyktw==&display=all&courtType=Monroe County Supreme Court&resultsPageNum=3,933,933,932,806606,AFFIRMATION/AFFIDAVIT OF SERVICE,Processed,09/02/2022,09/02/2022,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=cBSv1QFsJM2_PLUS_k0eXS_PLUS_w7Qw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=cBSv1QFsJM2_PLUS_k0eXS_PLUS_w7Qw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'Jb1BOGjsbEYHnbDn8Jyktw==' ORDER BY id;"
case_16797,2021-02687,32uH8iLyX/yZboIk0Jynqw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=32uH8iLyX/yZboIk0Jynqw==&display=all&courtType=Appellate Division - 1st Dept&resultsPageNum=9,10,10,9,825815,COPY OF NOTICE OF APPEAL WITH PROOF OF FILING / INFORMATIONAL STATEMENT / ORDER OR JDMT APPEALED FROM,Processed,07/21/2021,07/21/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=I7CFsqC84NK7rC3rZbE58Q==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=I7CFsqC84NK7rC3rZbE58Q==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '32uH8iLyX/yZboIk0Jynqw==' ORDER BY id;"
case_17054,020369/2015,3bJ4P7XeJ9nqyXop/CO5iA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=3bJ4P7XeJ9nqyXop/CO5iA==&display=all&courtType=Suffolk County Supreme Court&resultsPageNum=1,20,20,19,841381,COURT NOTICE,Processed,04/29/2021,04/29/2021,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=R4M4sYNJBXKQHRB2EB/93g==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=R4M4sYNJBXKQHRB2EB/93g==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '3bJ4P7XeJ9nqyXop/CO5iA==' ORDER BY id;"
case_17098,513785/2018,AW_PLUS_fbDwYuFEGzEW8COUOVA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=AW_PLUS_fbDwYuFEGzEW8COUOVA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=1,100,100,99,842427,AFFIRMATION/AFFIDAVIT OF SERVICE,Processed,05/08/2019,05/08/2019,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=goxxNMdgQE0r7ilS5g9r1Q==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=goxxNMdgQE0r7ilS5g9r1Q==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'AW_PLUS_fbDwYuFEGzEW8COUOVA==' ORDER BY id;"
case_17172,007107/2013,TGky0XVhv4oa3xXdUBdYBQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=TGky0XVhv4oa3xXdUBdYBQ==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=2,63,63,62,843825,REFEREE REPORT OF SALE,Processed,12/12/2024,12/12/2024,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=fFGiQnjKeTj8piJ/o_PLUS_988w==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=fFGiQnjKeTj8piJ/o_PLUS_988w==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'TGky0XVhv4oa3xXdUBdYBQ==' ORDER BY id;"
case_17175,030958/2017,ouVnu9D_PLUS_fo06n1v2NvdmUg==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ouVnu9D_PLUS_fo06n1v2NvdmUg==&display=all&courtType=Rockland County Supreme Court&resultsPageNum=2,102,102,101,843877,EXHIBIT(S),Processed,09/12/2017,09/12/2017,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=jFdhX1_PLUS_GmrKScGc_PLUS_D8KpEw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=jFdhX1_PLUS_GmrKScGc_PLUS_D8KpEw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'ouVnu9D_PLUS_fo06n1v2NvdmUg==' ORDER BY id;"
case_17186,068445/2014,xgIvykHth0G7vaNTMGwf0A==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=xgIvykHth0G7vaNTMGwf0A==&display=all&courtType=Suffolk County Supreme Court&resultsPageNum=2,86,86,85,844393,EXHIBIT(S),Processed,08/08/2016,08/08/2016,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=OPebUnYa4PSkttSeOR_PLUS_3SA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=OPebUnYa4PSkttSeOR_PLUS_3SA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'xgIvykHth0G7vaNTMGwf0A==' ORDER BY id;"
case_17223,156496/2024,vhUtk5mnKZZAHnTeogQYrQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=vhUtk5mnKZZAHnTeogQYrQ==&display=all&courtType=New York County Supreme Court&resultsPageNum=4,50,50,49,846000,EXHIBIT(S),Processed,10/10/2024,10/10/2024,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=M57r4JtOlly62Atm_PLUS_fHDRw==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=M57r4JtOlly62Atm_PLUS_fHDRw==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'vhUtk5mnKZZAHnTeogQYrQ==' ORDER BY id;"
case_17479,611884/2018,RPZeELzihNHZ/GadfEDMvQ==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=RPZeELzihNHZ/GadfEDMvQ==&display=all&courtType=Nassau County Supreme Court&resultsPageNum=14,118,118,117,857259,AFFIRMATION/AFFIDAVIT OF SERVICE,Processed,10/10/2018,10/10/2018,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=cfgc36WgNeWWdJomhyKC0g==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=cfgc36WgNeWWdJomhyKC0g==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'RPZeELzihNHZ/GadfEDMvQ==' ORDER BY id;"
case_17492,617589/2017,7vkyOc88jDaNaV/ullqcpw==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=7vkyOc88jDaNaV/ullqcpw==&display=all&courtType=Suffolk County Supreme Court&resultsPageNum=15,45,45,44,858039,SUMMONS (PRE RJI) (AMENDED),Processed,02/05/2018,02/05/2018,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=0sE6euf2aImX4flr3SL2KA==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=0sE6euf2aImX4flr3SL2KA==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = '7vkyOc88jDaNaV/ullqcpw==' ORDER BY id;"
case_17497,627916/2024,ShQFbljUR_PLUS_wtyrujHZNOgA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ShQFbljUR_PLUS_wtyrujHZNOgA==&display=all&courtType=Suffolk County Supreme Court&resultsPageNum=15,154,154,151,858340,DEMAND FOR:,Processed,01/27/2025,01/27/2025,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=eFieQLmZfP3_PLUS_x0l5q38qbQ==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=eFieQLmZfP3_PLUS_x0l5q38qbQ==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'ShQFbljUR_PLUS_wtyrujHZNOgA==' ORDER BY id;"
case_17497,627916/2024,ShQFbljUR_PLUS_wtyrujHZNOgA==,https://iapps.courts.state.ny.us/nyscef/DocumentList?docketId=ShQFbljUR_PLUS_wtyrujHZNOgA==&display=all&courtType=Suffolk County Supreme Court&resultsPageNum=15,154,154,151,858343,DEMAND FOR:,Processed,01/27/2025,01/27/2025,https://iapps.courts.state.ny.us/nyscef/ViewDocument?docIndex=CKGtsKPhq6kGguVVRMG30g==,https://iapps.courts.state.ny.us/nyscef/ConfirmationNotice?docId=CKGtsKPhq6kGguVVRMG30g==,"SELECT id, document_name, document_status, filed_create, document_link, document_bucket_link, document_confirmation_link, document_confirmation_bucket_link FROM courts_final.ny_docket_documents WHERE docket_id = 'ShQFbljUR_PLUS_wtyrujHZNOgA==' ORDER BY id;"
